Accession,Clade,Extended_lineage
GCA_026229955.1,mammals,Mammals
GCA_014706295.1,birds,Birds
GCA_003287225.2,mammals,Mammals
GCA_026018925.1,mammals,Mammals
GCA_048126345.1,mammals,Mammals
GCA_028022735.1,birds,Birds
GCF_014108245.1,mammals,Mammals
GCA_029215775.1,reptiles,Lepidosauria
GCA_048934315.1,otherChordates,Cyclostomes
GCA_964198595.1,otherChordates,Cyclostomes
GCF_902713425.1,fish,Ray-finned fishes
GCF_014108415.1,mammals,Mammals
GCF_020745735.1,sharks,Cartilaginous fishes
GCA_009819825.1,birds,Birds
GCA_936440315.1,fish,Ray-finned fishes
GCF_030684315.1,sharks,Cartilaginous fishes
GCF_036365525.1,sharks,Cartilaginous fishes
GCF_963082965.1,fish,Ray-finned fishes
GCA_963514005.1,sharks,Cartilaginous fishes
GCF_010909765.2,sharks,Cartilaginous fishes
GCF_014839835.1,birds,Birds
GCF_015220805.1,birds,Birds
GCF_009764475.1,sharks,Cartilaginous fishes
GCF_035084215.1,sharks,Cartilaginous fishes
GCA_028020825.1,birds,Birds
GCF_020740725.1,birds,Birds
GCF_030936135.1,birds,Birds
GCA_020746105.1,birds,Birds
GCA_027574665.1,birds,Birds
GCA_047830755.1,birds,Birds
GCA_964035555.1,birds,Birds
GCA_965178545.1,birds,Birds
GCF_036417845.1,birds,Birds
GCF_020826845.1,mammals,Mammals
GCF_017639515.1,sharks,Cartilaginous fishes
GCA_031877795.1,birds,Birds
GCA_031885435.1,birds,Birds
GCA_037962945.1,birds,Birds
GCA_048771995.1,birds,Birds
GCA_963989345.1,birds,Birds
GCA_964034855.1,birds,Birds
GCA_964106895.1,birds,Birds
GCA_964188345.1,birds,Birds
GCA_964195595.2,birds,Birds
GCA_964211825.1,birds,Birds
GCA_964211835.1,birds,Birds
GCA_965140245.1,birds,Birds
GCA_965151615.1,birds,Birds
GCA_965231275.1,birds,Birds
GCF_027477595.1,birds,Birds
GCF_030490865.1,birds,Birds
GCA_009769605.1,birds,Birds
GCA_030867145.1,birds,Birds
GCA_045364795.1,birds,Birds
GCA_047922985.1,birds,Birds
