# accession	download URL	primary/secondary	VGP clade
GCA_048565345.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_048565345.1.fa.gz	primary	amphibians
GCF_905171765.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_905171765.1.fa.gz	primary	amphibians
GCA_038501925.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_038501925.1.fa.gz	primary	amphibians
GCA_038048845.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_038048845.1.fa.gz	primary	amphibians
GCA_027917425.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_027917425.1.fa.gz	primary	amphibians
GCF_040937935.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_040937935.1.fa.gz	primary	amphibians
GCF_040938575.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_040938575.1.fa.gz	primary	amphibians
GCF_029499605.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_029499605.1.fa.gz	primary	amphibians
GCA_027410445.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_027410445.1.fa.gz	primary	amphibians
GCA_964204655.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_964204655.1.fa.gz	primary	amphibians
GCF_035609145.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_035609145.1.fa.gz	primary	amphibians
GCA_031893055.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_031893055.1.fa.gz	primary	amphibians
GCF_905171775.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_905171775.1.fa.gz	primary	amphibians
GCA_964205295.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_964205295.1.fa.gz	primary	amphibians
GCA_037306005.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_037306005.1.fa.gz	primary	amphibians
GCF_028390025.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_028390025.1.fa.gz	primary	amphibians
GCA_040206685.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_040206685.1.fa.gz	primary	amphibians
GCA_964263255.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_964263255.1.fa.gz	primary	amphibians
GCF_036172605.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_036172605.1.fa.gz	primary	amphibians
GCA_026652325.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_026652325.1.fa.gz	primary	amphibians
GCF_027579735.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_027579735.1.fa.gz	primary	amphibians
GCA_901765095.2	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_901765095.2.fa.gz	primary	amphibians
GCA_965119305.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_965119305.1.fa.gz	primary	amphibians
GCF_027358695.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_027358695.1.fa.gz	primary	amphibians
GCF_027789765.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_027789765.1.fa.gz	primary	amphibians
GCA_036172795.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_036172795.1.fa.gz	primary	amphibians
GCA_964261635.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCA_964261635.1.fa.gz	primary	amphibians
GCF_032444005.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_032444005.1.fa.gz	primary	amphibians
GCF_040894005.1	https://hgdownload.soe.ucsc.edu/hubs/VGP/alignment/primary/amphibians/GCF_040894005.1.fa.gz	primary	amphibians
