Order,Lineage,Extended lineage,Scientific Name,English Name,Assembly ID,Assembly ID main haplotype,Accession # for main haplotype,RefSeq annotation main haplotype,UCSC Browser main haplotype,Assembly tech,sex
m1,Mammals,Mammals,Elephas maximus indicus,Asian elephant,mEleMax1,mEleMax1.pri,GCA_024166365.1,GCF_024166365.1,GCF_024166365.1,"HiFi, Hifiasm solo",M
m1,Mammals,Mammals,Loxodonta africana,African elephant,mLoxAfr1,mLoxAfr1.hap2,GCA_030014295.1,GCF_030014295.1,GCF_030014295.1,"HiFi, Hifiasm Hi-C phasing",M
m2,Mammals,Mammals,Heterohyrax brucei,yellow-spotted rock hyrax,mHetBru1,mHetBru1.pri,GCA_028571685.1,,GCA_028571685.1,"HiFi, Hifiasm solo",M
m3,Mammals,Mammals,Dugong dugon,dugong,mDugDug1,mDugDug1.hap1,GCA_030035585.1,,GCA_030035585.1,"HiFi, Hifiasm Hi-C phasing",F
m3,Mammals,Mammals,Trichechus inunguis,Amazon manatee,mTriInu1,mTriInu1.hap2,GCA_046562895.1,,GCA_046562895.1,"HiFi, Hifiasm Hi-C phasing",M
m4,Mammals,Mammals,Rhynchocyon petersi,black and rufous elephant shrew,mRhyPet1,mRhyPet1.hap1,GCA_043290085.1,,GCA_043290085.1,"HiFi, Hifiasm Hi-C phasing",M
m5,Mammals,Mammals,Tenrec ecaudatus,tailless tenrec,mTenEca1,mTenEca1.hap1,,,,,
m6,Mammals,Mammals,Amblysomus hottentotus,hottentot golden mole,,,,,,,
m7,Mammals,Mammals,Orycteropus afer,aardvark,,,,,,,
m8,Mammals,Mammals,Tamandua tetradactyla,Southern tamandua ,mTamTet1,mTamTet1.pri,GCA_023851605.1,,GCA_023851605.1,"CLR I, FALCON unzip",M
m9,Mammals,Mammals,Choloepus didactylus,Linnaeus's two-toed sloth,mChoDid1,mChoDid1.pri,GCA_015220235.1,GCF_015220235.1,GCF_015220235.1,"CLR I, FALCON unzip",M
