Assembly Accession	Organism Name
GCA_963993115.1	Abramis brama
GCA_016904835.1	Acanthisitta chloris
GCF_904848185.1	Acanthopagrus latus
GCA_041753875.1	Acanthopagrus schlegelii
GCF_902713425.1	Acipenser ruthenus
GCA_964271855.1	Acomys minous
GCF_903995435.1	Acomys russatus
GCA_027559615.1	Acridotheres tristis
GCA_039906565.1	Aegotheles albertisi
GCF_020745825.1	Agelaius phoeniceus
GCA_008658365.1	Alca torda
GCF_030867095.1	Alligator mississippiensis
GCF_018492685.1	Alosa sapidissima
GCA_039720435.1	Amazona ochrocephala
GCA_046255685.1	Amblyopsis spelaea
GCF_010909765.2	Amblyraja radiata
GCF_040938575.1	Ambystoma mexicanum
GCF_036373705.1	Amia ocellicauda
GCA_949987685.1	Ammodytes marinus
GCF_027887145.1	Ammospiza caudacuta
GCA_036010785.1	Ammospiza maritima maritima
GCF_027579445.1	Ammospiza nelsoni
GCF_900324465.2	Anabas testudineus
GCA_014839685.1	Anableps anableps
GCF_963932015.1	Anas acuta
GCA_964188345.1	Anas platyrhynchos
GCF_013347855.1	Anguilla anguilla
GCA_029215775.1	Anniella stebbinsi
GCF_037176765.1	Anolis sagrei
GCA_048569485.1	Anomaloglossus baeobatrachus
GCA_964211835.1	Anser anser
GCA_964034855.1	Anser brachyrhynchus
GCF_040182565.1	Anser cygnoides
GCA_013358685.1	Antennarius maculatus
GCA_027563665.1	Antrozous pallidus
GCA_918807975.1	Aplidium turbinatum
GCA_017639675.1	Aplochiton taeniatus
GCF_947179515.1	Apodemus sylvaticus
GCF_036417845.1	Apteryx mantelli
GCF_020740795.1	Apus apus
GCF_900496995.4	Aquila chrysaetos chrysaetos
GCA_028858755.1	Ara ararauna
GCF_007364275.1	Archocentrus centrarchus
GCA_951799395.1	Argentina silus
GCA_042242135.1	Arripis georgiana
GCA_038363145.1	Artibeus intermedius
GCA_038363095.2	Artibeus lituratus
GCA_011762505.3	Arvicanthis niloticus
GCF_903992535.2	Arvicola amphibius
GCA_040206685.1	Ascaphus truei
GCA_947561715.1	Ascidia mentula
GCA_963924565.1	Ascidiella aspersa
GCA_043727835.1	Aselliscus stoliczkanus
GCA_023333525.2	Aspidoscelis tigris stejnegeri
GCA_964374335.1	Astatotilapia calliptera
GCF_902459465.1	Asterias rubens
GCF_929443795.1	Astur gentilis
GCF_023375975.1	Astyanax mexicanus
GCA_965140245.1	Athene noctua
GCA_965226115.1	Aulonocara stuartgranti
GCA_048301465.1	Aulostomus maculatus
GCA_964211825.1	Aythya ferina
GCF_009819795.1	Aythya fuligula
GCA_965140915.1	Aythya marila
GCF_949987535.1	Balaenoptera acutorostrata
GCA_965194805.1	Balaenoptera borealis
GCF_009873245.2	Balaenoptera musculus
GCA_965194825.1	Balaenoptera physalus
GCF_028023285.1	Balaenoptera ricei
GCA_011004875.1	Balearica regulorum gibbericeps
GCA_947034865.1	Barbatula barbatula
GCA_936440315.1	Barbus barbus
GCF_900634795.4	Betta splendens
GCA_963422515.1	Blennius ocellaris
GCF_027579735.1	Bombina bombina
GCA_964205295.1	Bombina variegata
GCA_949987555.1	Borostomias antarcticus
GCF_003369695.1	Bos indicus x Bos taurus
GCA_047715975.1	Bradypodion pumilum
GCA_019207075.1	Branchiostoma floridae x Branchiostoma belcheri
GCA_015852565.1	Branchiostoma floridae x Branchiostoma japonicum
GCA_035083965.1	Branchiostoma lanceolatum
GCA_965231335.1	Branta canadensis
GCA_964059595.1	Bucephala clangula
