Accession	Tolid	Species	# scaffolds	Total scaffold length	Average scaffold length	Scaffold N50	Scaffold auN	Scaffold L50	Largest scaffold	Smallest scaffold	# contigs	Total contig length	Average contig length	Contig N50	Contig auN	Contig L50	Largest contig	Smallest contig	# gaps in scaffolds	Total gap length in scaffolds	Average gap length in scaffolds	Gap N50 in scaffolds	Gap auN in scaffolds	Gap L50 in scaffolds	Largest gap in scaffolds	Smallest gap in scaffolds	Base composition (A:C:G:T)	GC content	# soft-masked bases	# segments	Total segment length	Average segment length	# gaps	# paths
GCA_024166365.1	mEleMax1	Elephas maximus indicus	64	3401247148	53144486.69	127432672	141759744.3	10	243826021	1881	190	3397913467	17883755.09	87987108	93553859.59	13	208165719	1881	126	3333681	26457.79	810570	706466.31	2	956684	13	1000898867:698528178:699222697:999263725	41.14	1636266381	190	3397913467	17883755.09	126	64
GCA_030014295.1	mLoxAfr1	Loxodonta africana	880	3540893228	4023742.3	119600562	129447918.4	11	241857137	12354	1111	3537204660	3183802.57	82653632	82032818.41	15	229222375	12354	231	3688568	15967.83	298901	494043.51	3	1137416	13	1037882257:729579195:729363207:1040380001	41.25	1731632144	1111	3537204660	3183802.57	231	880
GCA_028571685.1	mHetBru1	Heterohyrax brucei	62	3488059404	56259022.65	139648372	147102587	10	223965608	17888	338	3487990716	10319499.16	78495281	87098231.78	14	193784397	4886	276	68688	248.87	200	404.71	101	2374	20	1031544906:711995122:711030752:1033419936	40.8	1584186748	338	3487990716	10319499.16	276	62
GCA_030035585.1	mDugDug1	Dugong dugon	198	3158488110	15951960.15	140670990	149727175.1	9	230923939	6772	294	3158468910	10743091.53	57632671	71297885.89	17	162184114	6772	96	19200	200	200	200	48	200	200	937424608:641926225:641856437:937261640	40.65	1480584537	294	3158468910	10743091.53	96	198
GCA_046562895.1	mTriInu1	Trichechus inunguis	401	3320339069	8280147.3	123530250	135593633.7	10	231286350	9447	695	3320280269	4777381.68	25109643	26065586.68	45	61973209	9447	294	58800	200	200	200	147	200	200	982277596:677252632:677285706:983464335	40.8	1605263663	695	3320280269	4777381.68	294	401
GCA_043290085.1	mRhyPet1	Rhynchocyon petersi	469	5620370870	11983733.2	521973465	535918064.4	5	866991485	13901	1239	5620217039	4536091.23	13617243	18063465.4	118	67838716	13901	770	153831	199.78	200	199.97	385	200	31	1636725523:1172619792:1172988016:1637883708	41.74	3589611769	1239	5620217039	4536091.23	770	469
GCA_023851605.1	mTamTet1	Tamandua tetradactyla	201	3205741135	15948960.87	174634624	144321420.3	8	234425570	513	1162	3187843721	2743411.12	9869167	12523170.3	91	46629633	18	961	17897414	18623.74	314612	378653.54	17	958708	12	964526045:628962310:629547932:964807434	39.48	1280156520	1162	3187843721	2743411.12	961	201
GCA_015220235.1	mChoDid1	Choloepus didactylus	146	3214702604	22018510.99	146178362	146565942.1	9	250664781	2025	1386	3133710200	2260974.17	20994632	23191139.26	45	67722938	60	1240	80992404	65316.45	632029	852492.09	36	2960333	9	942312141:624942655:624959886:941495518	39.89	1283258491	1386	3133710200	2260974.17	1240	146
GCA_030445035.2	mDasNov1	Dasypus novemcinctus	546	3610552089	6612732.76	127081865	124800058.3	12	209551734	13962	1339	3598802131	2687678.96	13963394	19830138.73	68	82498337	13962	793	11749958	14817.1	222765	521063.57	11	1693271	13	1061943998:737779997:737685657:1061392479	41	1551838002	1339	3598802131	2687678.96	793	546
GCA_009914755.4	T2T-CHM13v2.0	Homo sapiens	25	3117292070	124691682.8	150617247	154570748.1	9	248387328	16569	25	3117292070	124691682.8	150617247	154570748.1	9	248387328	16569	0	0	0	0	0	0	0	0	923878813:633696734:636722544:922993979	40.75	1255459380	25	3117292070	124691682.8	0	25
