Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Complete_BUSCO,Single_BUSCO,Duplicated_BUSCO,Fragmented_BUSCO,Missing_BUSCO,STOP_BUSCO,Frameshift_BUSCO,Complete_Compleasm,Single_Compleasm,Duplicated_Compleasm,Retrocopy_Compleasm,Fragmented_Compleasm,Missing_Compleasm,Frameshift_Compleasm,# scaffolds,Total scaffold length,Average scaffold length,Scaffold N50,Scaffold auN,Scaffold L50,Largest scaffold,Smallest scaffold,# contigs,Total contig length,Average contig length,Contig N50,Contig auN,Contig L50,Largest contig,Smallest contig,# gaps in scaffolds,Total gap length in scaffolds,Average gap length in scaffolds,Gap N50 in scaffolds,Gap auN in scaffolds,Gap L50 in scaffolds,Largest gap in scaffolds,Smallest gap in scaffolds,Base composition (A:C:G:T),GC content,# soft-masked bases,# segments,Total segment length,Average segment length,# gaps,# paths,Technology,Extended lineage,Assembly tech,Complete_BUSCO_log10p1,Single_BUSCO_log10p1,Duplicated_BUSCO_log10p1,Fragmented_BUSCO_log10p1,Missing_BUSCO_log10p1,STOP_BUSCO_log10p1,Frameshift_BUSCO_log10p1,Complete_Compleasm_log10p1,Single_Compleasm_log10p1,Duplicated_Compleasm_log10p1,Retrocopy_Compleasm_log10p1,Fragmented_Compleasm_log10p1,Missing_Compleasm_log10p1,Frameshift_Compleasm_log10p1,# scaffolds_log10p1,Total scaffold length_log10p1,Average scaffold length_log10p1,Scaffold N50_log10p1,Scaffold auN_log10p1,Scaffold L50_log10p1,Largest scaffold_log10p1,Smallest scaffold_log10p1,# contigs_log10p1,Total contig length_log10p1,Average contig length_log10p1,Contig N50_log10p1,Contig auN_log10p1,Contig L50_log10p1,Largest contig_log10p1,Smallest contig_log10p1,# gaps in scaffolds_log10p1,Total gap length in scaffolds_log10p1,Average gap length in scaffolds_log10p1,Gap N50 in scaffolds_log10p1,Gap auN in scaffolds_log10p1,Gap L50 in scaffolds_log10p1,Largest gap in scaffolds_log10p1,Smallest gap in scaffolds_log10p1,Base composition (A:C:G:T)_log10p1,GC content_log10p1,# soft-masked bases_log10p1,# segments_log10p1,Total segment length_log10p1,Average segment length_log10p1,# gaps_log10p1,# paths_log10p1
GCA_026229955.1,mammals,1838,244,49,9417.27,9309,1807,20635,1,47,1790,0,1,0,0,28,19,1728,62,0,0,26229955,1,48,0,,,,,3330,3125,205,3,57,160,448,3337,3212,70,55,5,48,62,1838,2847741276,1549369.57,43824230,48146898.67,21,129284778,8082,2082,2847716876,1367779.48,10714300,12890723.98,81,53767646,8082,244,24400,100,100,100,122,100,100,,42.19,1066123143,2082,2847716876,1367779.48,244,1838,HiFi,Mammals,HiFi hifiasm,3.522574633,3.494988974,2.31386722,0.602059991,1.763427994,2.206825876,2.652246341,3.523486332,3.506910726,1.851258349,1.748188027,0.77815125,1.69019608,1.799340549,3.264581729,9.45450053,6.190155302,7.641714304,7.682568327,1.342422681,8.111547397,3.907572579,3.31868927,9.454496809,6.136016401,7.029963843,7.110277343,1.913813852,7.730521031,3.907572579,2.389166084,4.387407625,2.004321374,2.004321374,2.004321374,2.089905111,2.004321374,2.004321374,,1.635383204,9.027807371,3.31868927,9.454496809,6.136016401,2.389166084,3.264581729
GCA_014706295.1,birds,1695,1602,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,1632,63,0,0,14706295,1,0,0,,,,,3355,3326,29,11,24,203,598,3355,3343,11,1,12,23,76,1695,1107771238,653552.35,74168823,71589978.9,6,152208986,210,3297,1102011750,334246.82,7380351,8410721.88,44,25411417,1,1602,5759488,3595.19,5000,4856.09,575,10000,1,,42.94,214720681,3297,1102011750,334246.82,1602,1695,CLR,Birds,CLR,3.525821952,3.522052801,1.477121255,1.079181246,1.397940009,2.309630167,2.777426822,3.525821952,3.524266269,1.079181246,0.301029996,1.113943352,1.380211242,1.886490725,3.229425848,9.044450085,5.815281045,7.870221393,7.85485224,0.84509804,8.182440296,2.324282455,3.518250651,9.042186226,5.524068583,6.868077076,6.924833324,1.653212514,7.4050289,0.301029996,3.204933522,6.760383953,3.555842629,3.699056855,3.686376151,2.760422483,4.000043427,0.301029996,,1.642860053,8.331873878,3.518250651,9.042186226,5.524068583,3.204933522,3.229425848
GCA_003287225.2,mammals,1246,669,3,2912.67,3441,1230,4067,0,2,1243,0,0,0,0,1,1,1226,17,0,0,3287225,2,2,0,,,,,3379,3303,76,2,9,128,685,3382,3356,6,20,2,6,194,1246,3192631935,2562304.92,428240489,435983112.6,3,730425699,353,1915,3192565134,1667135.84,11399805,13575750.57,87,40558015,353,669,66801,99.85,100,100,335,100,1,,39.05,1235179243,1915,3192565134,1667135.84,669,1246,CLR,Mammals,CLR I,3.5289167,3.519040039,1.886490725,0.477121255,1,2.11058971,2.836324116,3.529301998,3.525951341,0.84509804,1.322219295,0.477121255,0.84509804,2.290034611,3.095866453,9.504148854,6.40863098,8.631687727,8.639469669,0.602059991,8.863576045,2.549003262,3.282395505,9.504139767,6.221971249,7.056897461,7.132763882,1.944482672,7.608076702,2.549003262,2.826074803,4.824789465,2.003675903,2.004321374,2.004321374,2.526339277,2.004321374,0.301029996,,1.60260252,9.091729985,3.282395505,9.504139767,6.221971249,2.826074803,3.095866453
GCA_026018925.1,mammals,1198,1188,8,5231.25,4946,550,11636,0,8,1190,0,0,0,0,5,3,1090,100,0,0,26018925,1,8,0,,,,,3374,3110,264,6,10,283,725,3380,3236,32,112,6,4,114,1198,2948294157,2461013.49,112954644,130056243.6,8,268061703,10403,2386,2948178402,1235615.42,7301848,11235401.15,97,41554477,319,1188,115755,97.44,100,99.38,579,100,23,,42.17,1344358623,2386,2948178402,1235615.42,1188,1198,CLR,Mammals,CLR I,3.528273777,3.492900011,2.423245874,0.84509804,1.041392685,2.45331834,2.860936621,3.529045171,3.510142699,1.51851394,2.053078443,0.84509804,0.698970004,2.06069784,3.078819183,9.469570812,6.391114171,8.052904095,8.11413121,0.954242509,8.428234774,4.017200344,3.377852419,9.46955376,6.091883671,6.863432848,7.050588622,1.991226076,7.618617831,2.505149978,3.075181855,5.063543511,1.993171605,2.004321374,2.001647191,2.763427994,2.004321374,1.380211242,,1.635182049,9.128515138,3.377852419,9.46955376,6.091883671,3.075181855,3.078819183
GCA_048126345.1,mammals,693,196,4,11112.5,7605,3175,26064,0,2,689,0,0,0,0,2,0,652,37,0,0,48126345,1,2,0,,,,,3373,2809,564,6,11,344,692,3374,3110,31,233,7,9,102,693,3845140558,5548543.37,356873583,470783177.6,4,761411215,3000,889,3844731014,4324781.79,88902510,102283971,13,247048763,570,196,409544,2089.51,25927,25744.39,6,41201,20,,37.8,1791140733,889,3844731014,4324781.79,196,693,HiFi,Mammals,HIFi,3.528145078,3.44870632,2.752048448,0.84509804,1.079181246,2.537819095,2.840733235,3.528273777,3.492900011,1.505149978,2.369215857,0.903089987,1,2.012837225,2.84135947,9.58491222,6.744179063,8.552514402,8.672820937,0.698970004,8.88161927,3.477265995,2.949390007,9.584865961,6.6359643,7.948914028,8.009807585,1.146128036,8.392782685,2.756636108,2.294466226,5.612301628,3.320252249,4.413769018,4.410699475,0.84509804,4.614918298,1.322219295,,1.588831726,9.253129711,2.949390007,9.584865961,6.6359643,2.294466226,2.84135947
GCA_028022735.1,birds,232,259,28,6549.07,6897,854,10051,5,19,208,0,4,0,1,2,17,187,21,0,0,28022735,1,24,40,12.5,47.5,60,35,3377,3359,18,4,9,251,569,3387,3375,12,0,1,2,55,232,1365299843,5884913.12,52189775,57345077.56,10,91544569,19635,491,1363299411,2776577.21,18064636,20522066.67,24,57496451,19635,259,2000432,7723.68,119145,403809.82,3,853331,13,,43.5,354088597,491,1363299411,2776577.21,259,232,HiFi,Birds,HiFi,3.528659645,3.526339277,1.278753601,0.698970004,1,2.401400541,2.755874856,3.529943402,3.528402438,1.113943352,0,0.301029996,0.477121255,1.748188027,2.367355921,9.135228041,6.769740129,7.717585433,7.758496152,1.041392685,7.961632589,4.293053023,2.691965103,9.134591247,6.443509911,7.256829239,7.312221115,1.397940009,7.759641046,4.293053023,2.414973348,6.30112401,3.887880498,5.076079467,5.606177952,0.602059991,5.931118032,1.146128036,,1.648360011,8.549111942,2.691965103,9.134591247,6.443509911,2.414973348,2.367355921
GCF_014108245.1,mammals,202,394,2,1024,1024,527,1521,0,1,200,0,0,0,0,0,1,110,90,0,0,14108245,1,1,0,,,,,3367,3273,94,5,18,145,437,3374,3326,14,34,5,11,73,203,1775705730,8747318.87,80237350,95318578.95,7,197205563,17189,597,1763504239,2953943.45,10591995,14970355.27,43,51030577,17189,394,12201491,30968.25,179538,225322.15,22,823211,13,,42.57,599932165,597,1763504239,2953943.45,394,203,CLR,Mammals,CLR I,3.527372083,3.515078675,1.977723605,0.77815125,1.278753601,2.164352856,2.641474111,3.528273777,3.522052801,1.176091259,1.544068044,0.77815125,1.079181246,1.86923172,2.309630167,9.249370996,6.941875008,7.904376582,7.979177564,0.903089987,8.294919164,4.235275877,2.776701184,9.246376508,6.470402324,7.024977808,7.175232136,1.643452676,7.707830487,4.235275877,2.596597096,7.08641294,4.490930688,5.254158802,5.352805814,1.361727836,5.915511693,1.146128036,,1.63918756,8.778102148,2.776701184,9.246376508,6.470402324,2.596597096,2.309630167
GCA_029215775.1,reptiles,134,21,14,12008.6,7033,574,32829,6,5,122,0,2,2,2,3,2,120,2,0,0,29215775,1,11,0,,,,,3367,3339,28,1,22,72,187,3371,3358,7,6,1,18,36,134,1890507581,14108265.53,275917861,286712641.2,3,424413838,12895,155,1890505481,12196809.55,120109455,144325361.1,5,280985737,12895,21,2100,100,100,100,11,100,100,,43.71,734045188,155,1890505481,12196809.55,21,134,HiFi,Lepidosauria,HiFi,3.527372083,3.523746467,1.462397998,0.301029996,1.361727836,1.86332286,2.274157849,3.527887566,3.526210004,0.903089987,0.84509804,0.301029996,1.278753601,1.568201724,2.130333768,9.276578423,7.149473656,8.440779816,8.457446843,0.602059991,8.627789537,4.110455024,2.193124598,9.276577941,7.086246278,8.0795772,8.159342656,0.77815125,8.448684277,4.110455024,1.342422681,3.322426052,2.004321374,2.004321374,2.004321374,1.079181246,2.004321374,2.004321374,,1.65040467,8.865722797,2.193124598,9.276577941,7.086246278,1.342422681,2.130333768
GCA_048934315.1,otherChordates,84,660,47,10543.5,10205,1750,25568,3,44,37,0,0,0,3,2,42,2,35,0,0,48934315,1,47,84,3.571428571,52.38095238,55.95238095,27.97619048,2795,2631,164,96,499,58,320,2782,2692,90,0,122,486,152,1203,1808332251,1503185.58,13495987,13502698.9,47,37671560,8628,2195,1808233051,823796.38,4594409,6598970.05,99,27573627,8628,992,99200,100,100,100,496,100,100,,48.1,1071208841,2195,1808233051,823796.38,992,1203,CLR,Cyclostomes,CLR I,3.446537167,3.420285885,2.217483944,1.986771734,2.698970004,1.770852012,2.506505032,3.444513206,3.430236353,1.959041392,0,2.089905111,2.687528961,2.184691431,3.080626487,9.257278228,6.17701289,7.130204683,7.130420615,1.681241237,7.576013616,3.935960469,3.341632336,9.257254403,5.915820406,6.662229749,6.819476223,2,7.440493912,3.935960469,2.996949248,4.99651605,2.004321374,2.004321374,2.004321374,2.696356389,2.004321374,2.004321374,,1.691081492,9.029874149,3.341632336,9.257254403,5.915820406,2.996949248,3.080626487
GCA_964198595.1,otherChordates,83,1730,41,10016.5,9397,1351,27874,6,32,44,0,2,0,4,0,32,2,42,0,0,964198595,1,38,82,7.317073171,39.02439024,46.34146341,25,2711,2594,117,138,541,56,365,2701,2659,41,1,165,524,198,1497,1042475189,696376.21,13159252,15183585.76,29,41634058,1000,3292,1042116189,316560.2,1289502,1753074.06,218,7796629,1000,1795,359000,200,200,200,898,200,200,,49.25,516095801,3292,1042116189,316560.2,1795,1497,HiFi,Cyclostomes,HiFi,3.433289685,3.414137362,2.071882007,2.1430148,2.733999287,1.755874856,2.563481085,3.431685345,3.424881637,1.62324929,0.301029996,2.220108088,2.720159303,2.298853076,3.175511813,9.018065728,5.84284455,7.119231237,7.181374375,1.477121255,7.619448753,3.000434077,3.517591731,9.017916143,5.500457684,6.110422357,6.243800511,2.340444115,6.891906925,3.000434077,3.254306332,5.555095658,2.303196057,2.303196057,2.303196057,2.953759692,2.303196057,2.303196057,,1.701136066,8.712730326,3.517591731,9.017916143,5.500457684,3.254306332,3.175511813
