Accession,Clade,total_paths,total_gaps,total_telomeres,mean_length,median_length,min_length,max_length,two_telomeres,one_telomere,no_telomeres,t2t,gapped_t2t,missassembled,gapped_missassembled,incomplete,gapped_incomplete,no_telomeres_comp,gapped_no_telomeres,discordant,gapped_discordant,core_id,version_num,with_telomeres,n_chromosomes,two_telomeres_pct,one_telomere_pct,with_telomeres_pct,total_telomeres_pct_of_ends,Technology,Extended lineage,Assembly tech,mean_telo_N50,median_telo_N50
GCA_026229955.1,mammals,1838,244,49,9417.27,9309,1807,20635,1,47,1790,0,1,0,0,28,19,1728,62,0,0,26229955,1,48,0,,,,,HiFi,Mammals,HiFi hifiasm,10073.07643312102,9936.0
GCA_014706295.1,birds,1695,1602,0,0,0,0,0,0,0,1695,0,0,0,0,0,0,1632,63,0,0,14706295,1,0,0,,,,,CLR,Birds,CLR,,
GCA_003287225.2,mammals,1246,669,3,2912.67,3441,1230,4067,0,2,1243,0,0,0,0,1,1,1226,17,0,0,3287225,2,2,0,,,,,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_026018925.1,mammals,1198,1188,8,5231.25,4946,550,11636,0,8,1190,0,0,0,0,5,3,1090,100,0,0,26018925,1,8,0,,,,,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_048126345.1,mammals,693,196,4,11112.5,7605,3175,26064,0,2,689,0,0,0,0,2,0,652,37,0,0,48126345,1,2,0,,,,,HiFi,Mammals,HIFi,10073.07643312102,9936.0
GCA_028022735.1,birds,232,259,28,6549.07,6897,854,10051,5,19,208,0,4,0,1,2,17,187,21,0,0,28022735,1,24,40,12.5,47.5,60,35,HiFi,Birds,HiFi,8283.715384615385,7730.0
GCF_014108245.1,mammals,202,394,2,1024,1024,527,1521,0,1,200,0,0,0,0,0,1,110,90,0,0,14108245,1,1,0,,,,,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCA_029215775.1,reptiles,134,21,14,12008.6,7033,574,32829,6,5,122,0,2,2,2,3,2,120,2,0,0,29215775,1,11,0,,,,,HiFi,Lepidosauria,HiFi,9430.628571428571,9306.0
GCA_048934315.1,otherChordates,84,660,47,10543.5,10205,1750,25568,3,44,37,0,0,0,3,2,42,2,35,0,0,48934315,1,47,84,3.571428571,52.38095238,55.95238095,27.97619048,CLR,Cyclostomes,CLR I,12463.666666666666,12351.0
GCA_964198595.1,otherChordates,83,1730,41,10016.5,9397,1351,27874,6,32,44,0,2,0,4,0,32,2,42,0,0,964198595,1,38,82,7.317073171,39.02439024,46.34146341,25,HiFi,Cyclostomes,HiFi,12463.666666666666,12351.0
GCF_902713425.1,fish,61,422,60,7785.53,4832,664,49996,18,26,16,0,14,0,4,0,26,1,15,0,0,902713425,1,44,60,30,43.33333333,73.33333333,50,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
GCF_014108415.1,mammals,60,349,9,6253.44,5061,3544,10244,2,5,53,0,2,0,0,2,3,23,30,0,0,14108415,1,7,0,,,,,CLR,Mammals,CLR I,10073.07643312102,9936.0
GCF_020745735.1,sharks,54,2031,39,27047.6,27181,2933,49996,8,26,20,0,5,0,3,0,26,0,20,0,0,20745735,1,34,54,14.81481481,48.14814815,62.96296296,36.11111111,CLR,Cartilaginous fishes,CLR II,17665.75,12986.5
GCA_009819825.1,birds,53,168,3,3039.33,1716,714,6688,0,3,50,0,0,0,0,1,2,3,47,0,0,9819825,1,3,52,0,5.769230769,5.769230769,2.884615385,CLR,Birds,CLR I,8283.715384615385,7730.0
GCA_936440315.1,fish,51,107,24,4334.04,3089,604,10288,4,16,31,1,3,0,0,2,14,1,30,0,0,936440315,1,20,50,8,32,40,24,HiFi,Ray-finned fishes,HiFi,6763.489795918367,6472.0
